number;question;kategoria;zestaw;rating;answer;aiAnswer;law
8;"Co to
jest i do czego służy tzw. linijka Słońca?";I;Z1;2;"</h2>
<p>WT Rozdział 2 Oświetlenie i nasłonecznienie §57 – 60<br/>
Linijka słońca służy do sprawdzenia czy dla danego pomieszczenia /
miejsca (plac zabaw) jesteśmy w stanie zapewnić wymaganą ilość
nasłonecznienia.</p>
<p>Odległość budynku z pom na stały pobyt ludzi od innych obiektów
uznaje się za spełnione jeżeli:<br/>
1. Między ramionami kąta 60 stopni wyznaczonego w płaszczyźnie poziomej,
z wierzchołkiem usytuowanym w wewnętrznym licu ściany na osi okna
pomieszczenie przesłanianego nie znajduje się przesłaniająca część
budynku lub inny budynek w odległości mniejszej niż: wysokość
przesłaniania dla budynków do 35 m, dla wyższych przyjmuje się
35m.<br/>
Wysokość przesłaniania to od poziomu dolnej krawędzi najniżej położonego
okna do poziomu najwyższej krawędzi obiektu przesłaniającego.<br/>
<br/>
- pomieszczenie przeznaczone na stały pobyt ludzi powinno mieć
zapewnione oświetlenie dzienne, dostosowane do przeznaczania.<br/>
- stosunek powierzchni okien w świetle ościeżnic do powierzchni podłogi
powinien wynosić co najmniej 1:8, natomiast w pomieszczeniach w których
ze względów na przeznaczenie 1:12<br/>
- pomieszczenie do zbiorowego przebywania w żłobku przedszkolu lub
innych w wyjątkiem pracowni chemicznej, fizycznej i plastycznej powinna
mieć zapewniony czas nasłonecznienia min 3 h 8-16, a pokoje mieszkalne
7-17.<br/>
- place zabaw min 4 między 10-16<br/>
- w zabudowie śródmiejskiej dopuszcza się skrócenie czasu o połowę, a w
odniesieniu do mieszkania jednopokojowego w takiej zabudowie nie określa
się wymaganego czasu nasłonecznienia</p></th>";;"hjhcdsdv fdg hdg dgbgfbgf bf g  ygf f yye y ghf fg g h hdgf dgf dgf gfh gf hfgdh "
9;"Proszę
omówić rodzaje izolacji przeciwwodnej podpiwniczonego budynku i
przedstawić je w formie szkicu.";P;Z1;N;"</h2>
<p>Izolacja pionowa (ścian) i pozioma(ławy)<br/>
Lekkie izolacje przeciwwilgociowe – stosowane na budynkach posadowionych
na przepuszczalnych gruntach i gdy woda gruntowa jest na niskim
poziomie. Np. masa bitumiczna, zaprawa wodoszczelna, czy odporna na
uszkodzenia mechaniczne folia.<br/>
Średnie izolacje przeciwwilgociowe – wykonywane na gruncie spoistym
(gliniastym). Poziom wód gruntowych może ulegać zmianom. np. Masa
bitumiczna, izolacja powinna być wzbogacona o drenaż wokół
budynku.<br/>
Ciężka izolacja przeciwwilgociowa – przy wysokim poziomie wód
gruntowych. Np. izolacja przeciwwodna z folii zgrzewanej lub
samoprzylepnej.</p>
<p><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image16.png"" style=""width:2.40222in;height:1.91319in""/></p>
<p>membranę kubełkową zazwyczaj układa się wytłoczeniami skierowanymi w
kierunku ściany fundamentowej</p></th>";;
10;"Co
należy rozumieć przez określenie dokumentacja budowy wg ustawy Prawo
Budowlane?";L;Z1;1;"</h2>
<p>Prawo budowlane Art. 3<br/>
należy przez to rozumieć pozwolenie na budowę wraz z załączonym
projektem budowlanym, dziennik budowy, protokoły odbiorów częściowych i
końcowych, w miarę potrzeby rysunku i opisy służące realizacji obiektu,
operaty geodezyjne i książkę obmiarów, a w przypadku realizacji obiektów
metodą montażu – także dziennik montażu.</p></th>";;
;;;;;;;
12;"Gdzie
i dlaczego stosuje się wentylację grawitacyjną? Jakie przepisy regulują
zasady jej realizacji i sposób wykonania?";P;Z5;5;answer1;"<h3>Wyczerpująca odpowiedź na pytanie:</h3><p><strong>Wentylacja grawitacyjna</strong>, inaczej zwana naturalną, wykorzystuje różnice temperatur i ciśnień pomiędzy wnętrzem budynku a powietrzem zewnętrznym, co powoduje przepływ powietrza w przewodach wentylacyjnych. Stosuje się ją głównie w budynkach mieszkalnych, biurowych oraz budynkach użyteczności publicznej, w których nie ma wysokiego zapotrzebowania na intensywną wymianę powietrza.</p><p><strong>Gdzie stosuje się wentylację grawitacyjną?</strong> Wentylacja grawitacyjna jest powszechnie stosowana w pomieszczeniach, gdzie poziom zanieczyszczeń powietrza nie wymaga wentylacji mechanicznej. Są to najczęściej:</p><ul><li>Kuchnie,w</li><li>Łazienki,</li><li>Toalety,</li><li>Pomieszczenia gospodarcze,</li><li>Sypialnie.</li></ul><p><strong>Dlaczego stosuje się wentylację grawitacyjną?</strong> Wentylacja grawitacyjna jest tania w instalacji i eksploatacji, nie wymaga zewnętrznych źródeł energii do pracy. Jest powszechnie stosowana w budynkach mieszkalnych ze względu na prostotę działania i niskie koszty utrzymania. Jednakże, jej skuteczność zależy od warunków atmosferycznych, takich jak różnica temperatur i prędkość wiatru. W zimie działa najlepiej, gdy różnica temperatur między wnętrzem a zewnętrzem jest największa, co zapewnia naturalny przepływ powietrza. W okresach letnich, kiedy różnice temperatur są niewielkie, wentylacja ta może być mniej efektywna.</p><p><strong>Jakie przepisy regulują zasady jej realizacji i sposób wykonania?</strong> Wentylacja grawitacyjna musi być zaprojektowana i wykonana zgodnie z przepisami techniczno-budowlanymi, które regulują m.in. wielkość i umiejscowienie otworów wentylacyjnych oraz konstrukcję przewodów wentylacyjnych. Przewody kominowe muszą być odpowiednio wyprowadzone ponad dach, aby zapewnić właściwy ciąg wentylacyjny i zapobiec cofaniu się powietrza.</p><p><br></p><h3>Akty prawne, które dotyczą pytania:</h3><ol><li><strong>Rozporządzenie Ministra Infrastruktury z dnia 12 kwietnia 2002 r.</strong> w sprawie warunków technicznych, jakim powinny odpowiadać budynki i ich usytuowanie (Dz.U. 2002 Nr 75 poz. 690 z późn. zm.) - § 150-154:</li></ol><ul><li class=""ql-indent-1"">Regulacje dotyczące wentylacji w budynkach, w tym wymagania dla przewodów wentylacyjnych i kominowych.</li></ul><ol><li><strong>Ustawa z dnia 7 lipca 1994 r. – Prawo budowlane</strong> (Dz.U. 1994 Nr 89 poz. 414 z późn. zm.):</li></ol><ul><li class=""ql-indent-1"">Wymagania ogólne dotyczące bezpieczeństwa użytkowania budynków, w tym prawidłowego działania instalacji wentylacyjnych.</li></ul><ol><li><strong>Polskie Normy</strong> związane z wentylacją, np. PN-83/B-03430/Az3:2000 - dotyczące wentylacji grawitacyjnej i przewodów wentylacyjnych w budynkach.</li></ol><h3><br></h3>";"<p><strong>1. **Rozporządzenie Ministra Infrastruktury z dnia 12 kwietnia 2002 r.** w sprawie warunków technicznych, jakim powinny odpowiadać budynki i ich usytuowanie (Dz.U. 2002 Nr 75 poz. 690 z późn. zm.) - § 150-154:</strong></p><p><strong>&nbsp;&nbsp;- Regulacje dotyczące wentylacji w budynkach, w tym wymagania dla przewodów wentylacyjnych i kominowych.</strong></p><p><strong>&nbsp;&nbsp;</strong></p><p><strong>2. **Ustawa z dnia 7 lipca 1994 r. – Prawo budowlane** (Dz.U. 1994 Nr 89 poz. 414 z późn. zm.):</strong></p><p><strong>&nbsp;&nbsp;- Wymagania ogólne dotyczące bezpieczeństwa użytkowania budynków, w tym prawidłowego działania instalacji wentylacyjnych.</strong></p><p><br></p><p><strong>3. **Polskie Normy** związane z wentylacją, np. PN-83/B-03430/Az3:2000 - dotyczące wentylacji grawitacyjnej i przewodów wentylacyjnych w budynkach.</strong></p><p><br></p><p>To address this, you can do the following:</p><h3>1. Sanitize Pasted Content</h3><p><br></p>"
13;"Proszę
omówić problematykę usytuowania miejsc do gromadzenia odpadów stałych,
wypowiedź ilustrując szkicami.";P;Z5;N;"</h2>
<p>WT Rozdział 4 Miejsce gromadzenia odpadów stałych §22<br/>
- miejscami gromadzenia odpadów stałych mogą być zadaszone osłony, ze
ścianami pełnym lub ażurowymi,<br/>
- wyodrębnione pomieszczenie w budynku mające posadzkę powyżej poziomu
nawierzchni dojazdu lecz nie wyżej niż 0,15m. zaopatrzone w daszek o
wysięgu co najmniej 1m i przedłużony na boki o 0,8m mający ściany i
podłogi zmywalne, zaopatrzone w punkt czerpalny wody, kratkę ściekową
wentylację oraz sztuczne oświetlenie<br/>
-między miejscem gromadzenia odpadów a stanowiskiem postojowym
śmieciarki powinno być utwardzone dojście<br/>
- min 10 m od okien i drzwi budynków przeznaczonych na stały pobyt
ludzi<br/>
- min 3m od granicy działki budowlanej<br/>
- min 10m od placów zabaw<br/>
-max 80 m od wejścia</p>
<p>Część rysunkowa:<br/>
- sporządzana jest na MDCP lub jej kopii<br/>
-orientacja położenia działki w stosunku do działek sąsiednich i stron
świata<br/>
- granice działki i terenu<br/>
-usytuowania i obrys istniejących i projektowanych obiektów budowlanych
wraz z określeniem sposobu ich użytkowania.<br/>
-układ komunikacji wewnętrznej w nawiązaniu do istniejącej i
projektowanej komunikacji<br/>
-układ istniejącej zieleni, z oznaczeniem jej elementów podlegającej
likwidacji oraz układu projektowanej zieleni<br/>
-układ sieci i uzbrojenia terenu</p></th>";;
15;"Proszę
podać definicję drogi pożarowe. Do jakich obiektów konieczne jest jej
doprowadzenie?";PŻ;Z8;;"</h2>
<p>Rozporządzenie MSWiA w sprawie.. dróg pożarowych Rozdział 6 Drogi
pożarowe §12<br/>
Droga pożarowa to droga o utwardzonej nawierzchni, umożliwiająca dojazd
pojazdów jednostek ochrony przeciwpożarowej do obiektu budowlanego o
każdej porze roku.<br/>
Drogę należy doprowadzić do:<br/>
- Budynku zakwalifikowanego do ZL I lub ZL II<br/>
- budynku z grupy SW, W, WW zawierający ZL III, ZL IV lub ZL V<br/>
- budynku zawierającego PM Q &lt;500 Mj/m2 i powierzchnia 1000m2 lub
pom. zagrożone wybuchem<br/>
- PM Q &gt; 500 ale pow większa niż 20 000m2<br/>
- budynku N, ZL III pow 1000m2 innego niż parterowy, ZL V i pow 50
osób<br/>
-stanowisk czerpania wody do celów ppoż.<br/>
Droga powinna przebiegać wzdłuż dłuższego boku na całej jego długości,
jeżeli krótszy bok ma więcej niż 60m to z obu jego stron.<br/>
Droga w odległości 5-15 m od budynku ZL i 5-25m pozostałych pomiędzy
drogą w ścianą budynku nie mogą występować stałe elementy wyższe niż 3 m
uniemożliwiające dostęp do za pomocą podnośników i drabin</p></th>";;
16;"Proszę
omówić problematykę dostępności dla osób niepełnosprawnych pomieszczeń w
budynkach użyteczności publicznej, ilustrując wypowiedź
szkicami.";P;Z8;;"<strong><br/>
</strong></h2>
<p>- parking z wyznaczonymi miejscami dla osób NPS na poziomie terenu
lub na kondygnacjach dostępnych dla tych osób z pochylni ( odcinki
długości max 9m)<br/>
- miejsce odpoczynku NPS ( miejsce 1,5x1,5) przy ławkach nie będące
komunikacją, bez żadnego wyposażenia.<br/>
- windy między poziomami ( przyciski z wypustkami, komunikaty
głosowe)<br/>
- nawierzchnie kierunkowe w kontrastującym kolorze<br/>
- tabliczki kierunkowe na poręczach<br/>
- stanowisko kas biletowych dostosowane do osób na wózku.<br/>
- mapa dotykowa (sensoryczna)<br/>
- osoby niewidome – oznakowania dźwiękowe i dotykowe (stacje sos)<br/>
- wyznaczone miejsce dla NPS z miejscem gdzie zatrzyma się wagon<br/>
- dostosowane toalety<br/>
- drzwi przesuwne ( drzwi ewakuacyjne z klamką antypaniczną na wysokości
nps)<br/>
+PPOŻ</p></th>";;
17;"Jakie
warunki muszą zostać spełnione aby możliwe było wydanie decyzji o
warunkach zabudowy?";L;Z8;;"</h2>
<p>Ustawa o planowaniu i zagospodarowaniu przestrzennym Art. 61<br/>
Łącznie muszą zostać spełnione następująca warunki:<br/>
- co najmniej jedna działka sąsiednia, dostępna z tej samej drogi
publicznej, jest zabudowana w sposób pozwalający na określenie wymagań
dotyczących nowej zabudowy w zakresie kontynuacji funkcji, parametrów,
cech i wskaźników kształtowania zabudowy oraz zagospodarowania
terenu<br/>
- ma dostęp do drogi publicznej<br/>
- istniejące lub projektowane uzbrojenie terenu jest wystarczające dla
projektowanego zamierzenia budowlanego<br/>
-teren nie wymaga zgody na zmianę przeznaczenia gruntów rolnych i
leśnych na cele nierolnicze i nieleśne albo objęty jest zgodą uzyskaną
przy sporządzaniu miejscowych planów<br/>
- decyzja jest zgodna z odrębnymi przepisami<br/>
- zamierzenie budowlane nie znajduje się w obszarze: strefy
kontrolowanej gazociągu, strefy bezpieczeństwa rurociągu (po obu
stronach), w zasięgu ustaleń strefy strategicznej w zakresie sieci
przesyłowej</p></th>";;
19;"Proszę
omówić warunki techniczne jakie muszą spełniać miejsca gromadzenia
odpadów stałych.";L;Z10;;"</h2>
<p>WT Rozdział 4 Miejsce gromadzenia odpadów stałych §22<br/>
- miejscami gromadzenia odpadów stałych mogą być zadaszone osłony, ze
ścianami pełnym lub ażurowymi,<br/>
- wyodrębnione pomieszczenie w budynku mające posadzkę powyżej poziomu
nawierzchni dojazdu lecz nie wyżej niż 0,15m. zaopatrzone w daszek o
wysięgu co najmniej 1m i przedłużony na boki o 0,8m mający ściany i
podłogi zmywalne, zaopatrzone w punkt czerpalny wody, kratkę ściekową
wentylację oraz sztuczne oświetlenie<br/>
-między miejscem gromadzenia odpadów a stanowiskiem postojowym
śmieciarki powinno być utwardzone dojście<br/>
- min 10 m od okien i drzwi budynków przeznaczonych na stały pobyt
ludzi<br/>
- min 3m od granicy działki budowlanej<br/>
- min 10m od placów zabaw<br/>
-max 80 m od wejścia</p></th>";;
