number;question;kategoria;zestaw;rating;answer
8;"Co to
jest i do czego służy tzw. linijka Słońca?";I;Z1;2;"WT Rozdział 2 Oświetlenie i nasłonecznienie §57 – 60
Linijka słońca służy do sprawdzenia czy dla danego pomieszczenia /
miejsca (plac zabaw) jesteśmy w stanie zapewnić wymaganą ilość
nasłonecznienia.
Odległość budynku z pom na stały pobyt ludzi od innych obiektów
uznaje się za spełnione jeżeli:
1. Między ramionami kąta 60 stopni wyznaczonego w płaszczyźnie poziomej,
z wierzchołkiem usytuowanym w wewnętrznym licu ściany na osi okna
pomieszczenie przesłanianego nie znajduje się przesłaniająca część
budynku lub inny budynek w odległości mniejszej niż: wysokość
przesłaniania dla budynków do 35 m, dla wyższych przyjmuje się
35m.
Wysokość przesłaniania to od poziomu dolnej krawędzi najniżej położonego
okna do poziomu najwyższej krawędzi obiektu przesłaniającego.

- pomieszczenie przeznaczone na stały pobyt ludzi powinno mieć
zapewnione oświetlenie dzienne, dostosowane do przeznaczania.
- stosunek powierzchni okien w świetle ościeżnic do powierzchni podłogi
powinien wynosić co najmniej 1:8, natomiast w pomieszczeniach w których
ze względów na przeznaczenie 1:12
- pomieszczenie do zbiorowego przebywania w żłobku przedszkolu lub
innych w wyjątkiem pracowni chemicznej, fizycznej i plastycznej powinna
mieć zapewniony czas nasłonecznienia min 3 h 8-16, a pokoje mieszkalne
7-17.
- place zabaw min 4 między 10-16
- w zabudowie śródmiejskiej dopuszcza się skrócenie czasu o połowę, a w
odniesieniu do mieszkania jednopokojowego w takiej zabudowie nie określa
się wymaganego czasu nasłonecznienia"
9;"Proszę
omówić rodzaje izolacji przeciwwodnej podpiwniczonego budynku i
przedstawić je w formie szkicu.";P;Z1;N;"</h2>
<p>Izolacja pionowa (ścian) i pozioma(ławy)<br/>
Lekkie izolacje przeciwwilgociowe – stosowane na budynkach posadowionych
na przepuszczalnych gruntach i gdy woda gruntowa jest na niskim
poziomie. Np. masa bitumiczna, zaprawa wodoszczelna, czy odporna na
uszkodzenia mechaniczne folia.<br/>
Średnie izolacje przeciwwilgociowe – wykonywane na gruncie spoistym
(gliniastym). Poziom wód gruntowych może ulegać zmianom. np. Masa
bitumiczna, izolacja powinna być wzbogacona o drenaż wokół
budynku.<br/>
Ciężka izolacja przeciwwilgociowa – przy wysokim poziomie wód
gruntowych. Np. izolacja przeciwwodna z folii zgrzewanej lub
samoprzylepnej.</p>
<p><img src=""https://adriansstudia.github.io/UB2024-APP/images/image_7.png"" style=""width:1.90576in;height:1.60091in""/></p>
<p>membranę kubełkową zazwyczaj układa się wytłoczeniami skierowanymi w
kierunku ściany fundamentowej</p></th>"
10;"Co
należy rozumieć przez określenie dokumentacja budowy wg ustawy Prawo
Budowlane?";L;Z1;1;"Prawo budowlane Art. 3
należy przez to rozumieć pozwolenie na budowę wraz z załączonym
projektem budowlanym, dziennik budowy, protokoły odbiorów częściowych i
końcowych, w miarę potrzeby rysunku i opisy służące realizacji obiektu,
operaty geodezyjne i książkę obmiarów, a w przypadku realizacji obiektów
metodą montażu – także dziennik montażu."
12;"Gdzie
i dlaczego stosuje się wentylację grawitacyjną? Jakie przepisy regulują
zasady jej realizacji i sposób wykonania?";P;Z5;T;
13;"Proszę
omówić problematykę usytuowania miejsc do gromadzenia odpadów stałych,
wypowiedź ilustrując szkicami.";P;Z5;N;"WT Rozdział 4 Miejsce gromadzenia odpadów stałych §22
- miejscami gromadzenia odpadów stałych mogą być zadaszone osłony, ze
ścianami pełnym lub ażurowymi,
- wyodrębnione pomieszczenie w budynku mające posadzkę powyżej poziomu
nawierzchni dojazdu lecz nie wyżej niż 0,15m. zaopatrzone w daszek o
wysięgu co najmniej 1m i przedłużony na boki o 0,8m mający ściany i
podłogi zmywalne, zaopatrzone w punkt czerpalny wody, kratkę ściekową
wentylację oraz sztuczne oświetlenie
-między miejscem gromadzenia odpadów a stanowiskiem postojowym
śmieciarki powinno być utwardzone dojście
- min 10 m od okien i drzwi budynków przeznaczonych na stały pobyt
ludzi
- min 3m od granicy działki budowlanej
- min 10m od placów zabaw
-max 80 m od wejścia
Część rysunkowa:
- sporządzana jest na MDCP lub jej kopii
-orientacja położenia działki w stosunku do działek sąsiednich i stron
świata
- granice działki i terenu
-usytuowania i obrys istniejących i projektowanych obiektów budowlanych
wraz z określeniem sposobu ich użytkowania.
-układ komunikacji wewnętrznej w nawiązaniu do istniejącej i
projektowanej komunikacji
-układ istniejącej zieleni, z oznaczeniem jej elementów podlegającej
likwidacji oraz układu projektowanej zieleni
-układ sieci i uzbrojenia terenu"
15;"Proszę
podać definicję drogi pożarowe. Do jakich obiektów konieczne jest jej
doprowadzenie?";PŻ;Z8;;"Rozporządzenie MSWiA w sprawie.. dróg pożarowych Rozdział 6 Drogi
pożarowe §12
Droga pożarowa to droga o utwardzonej nawierzchni, umożliwiająca dojazd
pojazdów jednostek ochrony przeciwpożarowej do obiektu budowlanego o
każdej porze roku.
Drogę należy doprowadzić do:
- Budynku zakwalifikowanego do ZL I lub ZL II
- budynku z grupy SW, W, WW zawierający ZL III, ZL IV lub ZL V
- budynku zawierającego PM Q <500 Mj/m2 i powierzchnia 1000m2 lub
pom. zagrożone wybuchem
- PM Q > 500 ale pow większa niż 20 000m2
- budynku N, ZL III pow 1000m2 innego niż parterowy, ZL V i pow 50
osób
-stanowisk czerpania wody do celów ppoż.
Droga powinna przebiegać wzdłuż dłuższego boku na całej jego długości,
jeżeli krótszy bok ma więcej niż 60m to z obu jego stron.
Droga w odległości 5-15 m od budynku ZL i 5-25m pozostałych pomiędzy
drogą w ścianą budynku nie mogą występować stałe elementy wyższe niż 3 m
uniemożliwiające dostęp do za pomocą podnośników i drabin"
16;"Proszę
omówić problematykę dostępności dla osób niepełnosprawnych pomieszczeń w
budynkach użyteczności publicznej, ilustrując wypowiedź
szkicami.";P;Z8;;"- parking z wyznaczonymi miejscami dla osób NPS na poziomie terenu
lub na kondygnacjach dostępnych dla tych osób z pochylni ( odcinki
długości max 9m)
- miejsce odpoczynku NPS ( miejsce 1,5x1,5) przy ławkach nie będące
komunikacją, bez żadnego w"
17;"Jakie
warunki muszą zostać spełnione aby możliwe było wydanie decyzji o
warunkach zabudowy?";L;Z8;;"Ustawa o planowaniu i zagospodarowaniu przestrzennym Art. 61
Łącznie muszą zostać spełnione następująca warunki:
- co najmniej jedna działka sąsiednia, dostępna z tej samej drogi
publicznej, jest zabudowana w sposób pozwalający na określenie wymagań
dotyczących nowej zabudowy w zakresie kontynuacji funkcji, parametrów,
cech i wskaźników kształtowania zabudowy oraz zagospodarowania
terenu
- ma dostęp do drogi publicznej
- istniejące lub projektowane uzbrojenie terenu jest wystarczające dla
projektowanego zamierzenia budowlanego
-teren nie wymaga zgody na zmianę przeznaczenia gruntów rolnych i
leśnych na cele nierolnicze i nieleśne albo objęty jest zgodą uzyskaną
przy sporządzaniu miejscowych planów
- decyzja jest zgodna z odrębnymi przepisami
- zamierzenie budowlane nie znajduje się w obszarze: strefy
kontrolowanej gazociągu, strefy bezpieczeństwa rurociągu (po obu
stronach), w zasięgu ustaleń strefy strategicznej w zakresie sieci
przesyłowej"
19;"Proszę
omówić warunki techniczne jakie muszą spełniać miejsca gromadzenia
odpadów stałych.";L;Z10;;"WT Rozdział 4 Miejsce gromadzenia odpadów stałych §22
- miejscami gromadzenia odpadów stałych mogą być zadaszone osłony, ze
ścianami pełnym lub ażurowymi,
- wyodrębnione pomieszczenie w budynku mające posadzkę powyżej poziomu
nawierzchni dojazdu lecz nie wyżej niż 0,15m. zaopatrzone w daszek o
wysięgu co najmniej 1m i przedłużony na boki o 0,8m mający ściany i
podłogi zmywalne, zaopatrzone w punkt czerpalny wody, kratkę ściekową
wentylację oraz sztuczne oświetlenie
-między miejscem gromadzenia odpadów a stanowiskiem postojowym
śmieciarki powinno być utwardzone dojście
- min 10 m od okien i drzwi budynków przeznaczonych na stały pobyt
ludzi
- min 3m od granicy działki budowlanej
- min 10m od placów zabaw
-max 80 m od wejścia"
20;"Proszę
omówić rodzaje i sposoby rozwiązania podłóg przemysłowych, wypowiedź
ilustrując szkicami";P;Z10;;"</h2>
<p>Posadzka betonowa – wysoka wytrzymałość na nacisk pojazdów
kołowych<br/>
Posadzka żywiczna – odporność na środki chemiczne, mogą być
elektrostatyczne. Najczęściej wykończona na podłożu betonowym<br/>
Posadzka cementowo-polimerowa - dzięki zastosowaniu spoiw z kurszywa
cementu i preparatu<br/>
polimerowego łączy zalety obu rozwiązań, dobre w budynkach w których
mamy do czynienia z wodą<br/>
Posadzka ceramiczna</p>
<p><img src=""https://adriansstudia.github.io/UB2024-APP/images/image_5.png"" style=""width:2.28338in;height:1.10308in""/></p>
<ol type=""1"">
<li><p>Warstwa przerywająca podciąganie kapilarne – żwir płukany
8-16mm</p></li>
<li><p>Folia PE lub membrana kubełkowa</p></li>
<li><p>Beton podkładowy</p></li>
<li><p>Hydroizolacja (papa termozgrzewalna(</p></li>
<li><p>Termoizolacja (XPS)</p></li>
<li><p>Warstwa ochronna (chemoodporna membrana zgrzewana)</p></li>
<li><p>Beton nośny</p></li>
<li><p>Posadzka żywiczna</p></li>
</ol></th>"
