number;question;kategoria;zestaw;rating;answer;ai-answer;law
8;"Co to
jest i do czego służy tzw. linijka Słońca?";I;Z1;2;"</h2>
<p>WT Rozdział 2 Oświetlenie i nasłonecznienie §57 – 60<br/>
Linijka słońca służy do sprawdzenia czy dla danego pomieszczenia /
miejsca (plac zabaw) jesteśmy w stanie zapewnić wymaganą ilość
nasłonecznienia.</p>
<p>Odległość budynku z pom na stały pobyt ludzi od innych obiektów
uznaje się za spełnione jeżeli:<br/>
1. Między ramionami kąta 60 stopni wyznaczonego w płaszczyźnie poziomej,
z wierzchołkiem usytuowanym w wewnętrznym licu ściany na osi okna
pomieszczenie przesłanianego nie znajduje się przesłaniająca część
budynku lub inny budynek w odległości mniejszej niż: wysokość
przesłaniania dla budynków do 35 m, dla wyższych przyjmuje się
35m.<br/>
Wysokość przesłaniania to od poziomu dolnej krawędzi najniżej położonego
okna do poziomu najwyższej krawędzi obiektu przesłaniającego.<br/>
<br/>
- pomieszczenie przeznaczone na stały pobyt ludzi powinno mieć
zapewnione oświetlenie dzienne, dostosowane do przeznaczania.<br/>
- stosunek powierzchni okien w świetle ościeżnic do powierzchni podłogi
powinien wynosić co najmniej 1:8, natomiast w pomieszczeniach w których
ze względów na przeznaczenie 1:12<br/>
- pomieszczenie do zbiorowego przebywania w żłobku przedszkolu lub
innych w wyjątkiem pracowni chemicznej, fizycznej i plastycznej powinna
mieć zapewniony czas nasłonecznienia min 3 h 8-16, a pokoje mieszkalne
7-17.<br/>
- place zabaw min 4 między 10-16<br/>
- w zabudowie śródmiejskiej dopuszcza się skrócenie czasu o połowę, a w
odniesieniu do mieszkania jednopokojowego w takiej zabudowie nie określa
się wymaganego czasu nasłonecznienia</p></th>";a1;l1
9;"Proszę
omówić rodzaje izolacji przeciwwodnej podpiwniczonego budynku i
przedstawić je w formie szkicu.";P;Z1;N;"</h2>
<p>Izolacja pionowa (ścian) i pozioma(ławy)<br/>
Lekkie izolacje przeciwwilgociowe – stosowane na budynkach posadowionych
na przepuszczalnych gruntach i gdy woda gruntowa jest na niskim
poziomie. Np. masa bitumiczna, zaprawa wodoszczelna, czy odporna na
uszkodzenia mechaniczne folia.<br/>
Średnie izolacje przeciwwilgociowe – wykonywane na gruncie spoistym
(gliniastym). Poziom wód gruntowych może ulegać zmianom. np. Masa
bitumiczna, izolacja powinna być wzbogacona o drenaż wokół
budynku.<br/>
Ciężka izolacja przeciwwilgociowa – przy wysokim poziomie wód
gruntowych. Np. izolacja przeciwwodna z folii zgrzewanej lub
samoprzylepnej.</p>
<p><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image16.png"" style=""width:2.40222in;height:1.91319in""/></p>
<p>membranę kubełkową zazwyczaj układa się wytłoczeniami skierowanymi w
kierunku ściany fundamentowej</p></th>";a2;l2
10;"Co
należy rozumieć przez określenie dokumentacja budowy wg ustawy Prawo
Budowlane?";L;Z1;1;"</h2>
<p>Prawo budowlane Art. 3<br/>
należy przez to rozumieć pozwolenie na budowę wraz z załączonym
projektem budowlanym, dziennik budowy, protokoły odbiorów częściowych i
końcowych, w miarę potrzeby rysunku i opisy służące realizacji obiektu,
operaty geodezyjne i książkę obmiarów, a w przypadku realizacji obiektów
metodą montażu – także dziennik montażu.</p></th>";a3;l3
12;"Gdzie
i dlaczego stosuje się wentylację grawitacyjną? Jakie przepisy regulują
zasady jej realizacji i sposób wykonania?";P;Z5;T;;a4;l4
13;"Proszę
omówić problematykę usytuowania miejsc do gromadzenia odpadów stałych,
wypowiedź ilustrując szkicami.";P;Z5;N;"</h2>
<p>WT Rozdział 4 Miejsce gromadzenia odpadów stałych §22<br/>
- miejscami gromadzenia odpadów stałych mogą być zadaszone osłony, ze
ścianami pełnym lub ażurowymi,<br/>
- wyodrębnione pomieszczenie w budynku mające posadzkę powyżej poziomu
nawierzchni dojazdu lecz nie wyżej niż 0,15m. zaopatrzone w daszek o
wysięgu co najmniej 1m i przedłużony na boki o 0,8m mający ściany i
podłogi zmywalne, zaopatrzone w punkt czerpalny wody, kratkę ściekową
wentylację oraz sztuczne oświetlenie<br/>
-między miejscem gromadzenia odpadów a stanowiskiem postojowym
śmieciarki powinno być utwardzone dojście<br/>
- min 10 m od okien i drzwi budynków przeznaczonych na stały pobyt
ludzi<br/>
- min 3m od granicy działki budowlanej<br/>
- min 10m od placów zabaw<br/>
-max 80 m od wejścia</p>
<p>Część rysunkowa:<br/>
- sporządzana jest na MDCP lub jej kopii<br/>
-orientacja położenia działki w stosunku do działek sąsiednich i stron
świata<br/>
- granice działki i terenu<br/>
-usytuowania i obrys istniejących i projektowanych obiektów budowlanych
wraz z określeniem sposobu ich użytkowania.<br/>
-układ komunikacji wewnętrznej w nawiązaniu do istniejącej i
projektowanej komunikacji<br/>
-układ istniejącej zieleni, z oznaczeniem jej elementów podlegającej
likwidacji oraz układu projektowanej zieleni<br/>
-układ sieci i uzbrojenia terenu</p></th>";a5;l5
15;"Proszę
podać definicję drogi pożarowe. Do jakich obiektów konieczne jest jej
doprowadzenie?";PŻ;Z8;;"</h2>
<p>Rozporządzenie MSWiA w sprawie.. dróg pożarowych Rozdział 6 Drogi
pożarowe §12<br/>
Droga pożarowa to droga o utwardzonej nawierzchni, umożliwiająca dojazd
pojazdów jednostek ochrony przeciwpożarowej do obiektu budowlanego o
każdej porze roku.<br/>
Drogę należy doprowadzić do:<br/>
- Budynku zakwalifikowanego do ZL I lub ZL II<br/>
- budynku z grupy SW, W, WW zawierający ZL III, ZL IV lub ZL V<br/>
- budynku zawierającego PM Q &lt;500 Mj/m2 i powierzchnia 1000m2 lub
pom. zagrożone wybuchem<br/>
- PM Q &gt; 500 ale pow większa niż 20 000m2<br/>
- budynku N, ZL III pow 1000m2 innego niż parterowy, ZL V i pow 50
osób<br/>
-stanowisk czerpania wody do celów ppoż.<br/>
Droga powinna przebiegać wzdłuż dłuższego boku na całej jego długości,
jeżeli krótszy bok ma więcej niż 60m to z obu jego stron.<br/>
Droga w odległości 5-15 m od budynku ZL i 5-25m pozostałych pomiędzy
drogą w ścianą budynku nie mogą występować stałe elementy wyższe niż 3 m
uniemożliwiające dostęp do za pomocą podnośników i drabin</p></th>";a6;l6
16;"Proszę
omówić problematykę dostępności dla osób niepełnosprawnych pomieszczeń w
budynkach użyteczności publicznej, ilustrując wypowiedź
szkicami.";P;Z8;;"<strong><br/>
</strong></h2>
<p>- parking z wyznaczonymi miejscami dla osób NPS na poziomie terenu
lub na kondygnacjach dostępnych dla tych osób z pochylni ( odcinki
długości max 9m)<br/>
- miejsce odpoczynku NPS ( miejsce 1,5x1,5) przy ławkach nie będące
komunikacją, bez żadnego wyposażenia.<br/>
- windy między poziomami ( przyciski z wypustkami, komunikaty
głosowe)<br/>
- nawierzchnie kierunkowe w kontrastującym kolorze<br/>
- tabliczki kierunkowe na poręczach<br/>
- stanowisko kas biletowych dostosowane do osób na wózku.<br/>
- mapa dotykowa (sensoryczna)<br/>
- osoby niewidome – oznakowania dźwiękowe i dotykowe (stacje sos)<br/>
- wyznaczone miejsce dla NPS z miejscem gdzie zatrzyma się wagon<br/>
- dostosowane toalety<br/>
- drzwi przesuwne ( drzwi ewakuacyjne z klamką antypaniczną na wysokości
nps)<br/>
+PPOŻ</p></th>";a7;l7
17;"Jakie
warunki muszą zostać spełnione aby możliwe było wydanie decyzji o
warunkach zabudowy?";L;Z8;;"</h2>
<p>Ustawa o planowaniu i zagospodarowaniu przestrzennym Art. 61<br/>
Łącznie muszą zostać spełnione następująca warunki:<br/>
- co najmniej jedna działka sąsiednia, dostępna z tej samej drogi
publicznej, jest zabudowana w sposób pozwalający na określenie wymagań
dotyczących nowej zabudowy w zakresie kontynuacji funkcji, parametrów,
cech i wskaźników kształtowania zabudowy oraz zagospodarowania
terenu<br/>
- ma dostęp do drogi publicznej<br/>
- istniejące lub projektowane uzbrojenie terenu jest wystarczające dla
projektowanego zamierzenia budowlanego<br/>
-teren nie wymaga zgody na zmianę przeznaczenia gruntów rolnych i
leśnych na cele nierolnicze i nieleśne albo objęty jest zgodą uzyskaną
przy sporządzaniu miejscowych planów<br/>
- decyzja jest zgodna z odrębnymi przepisami<br/>
- zamierzenie budowlane nie znajduje się w obszarze: strefy
kontrolowanej gazociągu, strefy bezpieczeństwa rurociągu (po obu
stronach), w zasięgu ustaleń strefy strategicznej w zakresie sieci
przesyłowej</p></th>";a8;l8
19;"Proszę
omówić warunki techniczne jakie muszą spełniać miejsca gromadzenia
odpadów stałych.";L;Z10;;"</h2>
<p>WT Rozdział 4 Miejsce gromadzenia odpadów stałych §22<br/>
- miejscami gromadzenia odpadów stałych mogą być zadaszone osłony, ze
ścianami pełnym lub ażurowymi,<br/>
- wyodrębnione pomieszczenie w budynku mające posadzkę powyżej poziomu
nawierzchni dojazdu lecz nie wyżej niż 0,15m. zaopatrzone w daszek o
wysięgu co najmniej 1m i przedłużony na boki o 0,8m mający ściany i
podłogi zmywalne, zaopatrzone w punkt czerpalny wody, kratkę ściekową
wentylację oraz sztuczne oświetlenie<br/>
-między miejscem gromadzenia odpadów a stanowiskiem postojowym
śmieciarki powinno być utwardzone dojście<br/>
- min 10 m od okien i drzwi budynków przeznaczonych na stały pobyt
ludzi<br/>
- min 3m od granicy działki budowlanej<br/>
- min 10m od placów zabaw<br/>
-max 80 m od wejścia</p></th>";a9;l9
20;"Proszę
omówić rodzaje i sposoby rozwiązania podłóg przemysłowych, wypowiedź
ilustrując szkicami";P;Z10;;"</h2>
<p>Posadzka betonowa – wysoka wytrzymałość na nacisk pojazdów
kołowych<br/>
Posadzka żywiczna – odporność na środki chemiczne, mogą być
elektrostatyczne. Najczęściej wykończona na podłożu betonowym<br/>
Posadzka cementowo-polimerowa - dzięki zastosowaniu spoiw z kurszywa
cementu i preparatu<br/>
polimerowego łączy zalety obu rozwiązań, dobre w budynkach w których
mamy do czynienia z wodą<br/>
Posadzka ceramiczna</p>
<p><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image34.png"" style=""width:2.28338in;height:1.10308in""/></p>
<ol type=""1"">
<li><p>Warstwa przerywająca podciąganie kapilarne – żwir płukany
8-16mm</p></li>
<li><p>Folia PE lub membrana kubełkowa</p></li>
<li><p>Beton podkładowy</p></li>
<li><p>Hydroizolacja (papa termozgrzewalna(</p></li>
<li><p>Termoizolacja (XPS)</p></li>
<li><p>Warstwa ochronna (chemoodporna membrana zgrzewana)</p></li>
<li><p>Beton nośny</p></li>
<li><p>Posadzka żywiczna</p></li>
</ol></th>";a10;l10
21;"Jakie
inwestycje wymagają wydania decyzji o lokalizacji celu publicznego w
przypadku braku miejscowego planu zagospodarowania
przestrzennego?";L;Z10;;"</h2>
<p>Ustawa o gospodarce nieruchomościami Art. 6<br/>
- wydzielenie gruntów pod drogi publiczne, rowerowe i wodne, budowa oraz
utrzymanie tych dróg<br/>
- wydzielenie gruntów oraz ich budowa i utrzymanie dla: linii
kolejowych, lotnisk, portów, przystani morskich, urządzeń służących do
zaopatrzenia ludzi w wodę, oczyszczania i odprowadzania ścieków,
urządzenia ochrony środowiska, morskiej farmy wiatrowej, pomieszczenia
dla urzędów organów władzy, administracji, sądów, prokuratur uczelni
publicznych, obiektów dla operatora pocztowego, urządzeń i obiektów na
rzecz obronności państwa,<br/>
-zakładanie i utrzymanie cmentarzy<br/>
- wydzielenie gruntów pod publiczne dostępne samorządowe: ciągi piesze,
place, parki, promenady lub bulwary a także ich urządzanie</p></th>";a11;l11
23;"Proszę
omówić zasady i warunki techniczne dotyczące projektowania placów zabaw
i terenów rekreacyjnych.";P;Z13;;"</h2>
<p>WT Rozdział 8 Zieleń i urządzenia rekreacyjne §39<br/>
-Na działkach budowlanych, przeznaczonych pod zabudowę wielorodzinną,
budynki opieki zdrowotnej ( z wyjątkiem przychodni) oraz oświaty i
wychowania co najmniej 25% powierzchni działki należy urządzić jako
powierzchnię biologicznie czynną, jeżeli inny % nie wynika z MPZP<br/>
-W zespole budynków wielorodzinnych objętych jednym pozwoleniem na
budowę należy stosownie do potrzeb użytkowych, przewidzieć place zabaw,
miejsca rekreacyjne dostępne dla NPS przy czym 30% powierzchni powinno
znajdować się na terenie biologicznie czynnym.<br/>
-Nasłonecznienie placu zabaw powinno wynosić 4 godziny w dniach
równonocy od 10-16.<br/>
- Odległość placów zabaw od okien i pomieszczeń na stały pobyt ludzi
powinna wynosić co najmniej 10 m</p></th>";a12;l12
24;"Proszę
omówić sposób wyznaczania szerokości elewacji frontowej na działce
objętej wnioskiem o ustalenie warunków zabudowy.";L;Z13;;"</h2>
<p>Rozporządzenie MI … w przypadku braku planu miejscowego
zagospodarowania §6<br/>
Szerokość elewacji frontowej, znajdującej się od strony frontu działki
wyznacza się dla nowej zabudowy na podstawie średniej szerokości
elewacji frontowych istniejącej zabudowy na działkach w obszarze
analizowanym z tolerancją 20%</p></th>";a13;l13
26;"Co to
jest i do czego służy tzn. linijka słońca?";I;Z14;2;"</h2>
<p><strong>Jak w zestawie 1.</strong></p></th>";a14;l14
27;"Proszę
naszkicować przykładowe rozwiązanie gromadzenia odpadów stałych w
wyodrębnionym pomieszczeniu w budynku, a następnie omówić problematykę
usytuowania miejsc do gromadzenia odpadów stałych.";P;Z14;;"</h2>
<p><strong>Jak w zestawie 5.</strong></p>
<p>ChatGpt:</p>
<p>Problematyka usytuowania miejsc do gromadzenia odpadów stałych</p>
<p>Lokalizacja:</p>
<p>Miejsca do gromadzenia odpadów powinny być zlokalizowane w łatwo
dostępnych miejscach, zarówno dla mieszkańców, jak i służb wywożących
odpady. Zbyt oddalone miejsca mogą prowadzić do zaniedbywania obowiązku
segregacji i utrudniać wywóz odpadów.</p>
<p>Wentylacja:</p>
<p>Ważnym elementem jest odpowiednia wentylacja pomieszczeń, aby uniknąć
nieprzyjemnych zapachów i zapewnić higieniczne warunki. Często stosuje
się wentylację mechaniczną, a w przypadku pomieszczeń na poziomie gruntu
również otwory wentylacyjne.</p>
<p>Higiena i bezpieczeństwo:</p>
<p>Pomieszczenie powinno być łatwe do utrzymania w czystości, z gładkimi
powierzchniami podłóg i ścian, które umożliwiają łatwe mycie. Ważne jest
także zaplanowanie odprowadzenia wody i zastosowanie materiałów
odpornych na działanie środków chemicznych.</p>
<p>Oznakowanie i segregacja:</p>
<p>Pomieszczenia do gromadzenia odpadów muszą być odpowiednio
oznakowane, aby ułatwić segregację. Kolorowe pojemniki, etykiety oraz
tablice informacyjne pomagają w prawidłowej segregacji odpadów i
zwiększają efektywność zarządzania odpadami</p></th>";a15;l15
28;"Proszę
omówić sposób wyznaczania wysokości górnej krawędzi elewacji frontowej
na działce objętej wnioskiem o ustalenie warunków
zabudowy";L;Z14;;"</h2>
<p>Rozporządzenie MI … w przypadku braku planu miejscowego
zagospodarowania §7<br/>
Wysokość górnej krawędzi elewacji frontowej, jej gzymsy, attyki wyznacza
się dla nowej zabudowy jako przedłużenie tych krawędzi odpowiednio do
istniejącej zabudowy na działkach sąsiednich.<br/>
- wysokość mierzy się od średniego poziomu przed głównym wejściem do
budynku<br/>
- jeżeli wysokość na działkach sąsiednich przebiega tworząc uskok to
przyjmuje się średnią wartość na analizowanym obszarze.<br/>
- dopuszcza się ustanowienie innej wysokości</p></th>";a16;l16
30;"Jakie
projekty budowlane wymagają uzgodnienie pod względem ochrony
przeciwpożarowej?";PŻ;Z15;;"</h2>
<p>Rozporządzenie MSWiA w sprawie uzgadniania projektu budowlanego §4
BRAK TEGO ROZPORZĄDZENIA W WYKAZIE</p>
<p>Uzgodnienia wymagają następujące projekty budowlane:</p>
<p>- budynku zawierającego strefę pożarową zakwalifikowaną do kategorii
zagrożenia ludzi ZL I, ZL II lub ZL V;</p>
<p>- budynku należącego do grupy wysokości: średniowysokie, wysokie lub
wysokościowe, zawierającego strefę pożarową zakwalifikowaną do kategorii
zagrożenia ludzi ZL III lub ZL IV;</p>
<p>- budynku niskiego zawierającego strefę pożarową o powierzchni
przekraczającej 1.000 m2, zakwalifikowaną do kategorii zagrożenia ludzi
ZL III, obejmującą kondygnację nadziemną inną niż pierwsza;</p>
<p>- obiektu budowlanego innego niż budynek, przeznaczonego do
użyteczności publicznej lub zamieszkania zbiorowego, w którym przewiduje
się możliwość jednoczesnego przebywania w strefie pożarowej ponad 50
osób na powierzchni do 2.000 m2;</p>
<p>- budynku zawierającego strefę pożarową produkcyjną lub magazynową,
wolno stojącego urządzenia technologicznego lub zbiornika poza budynkami
oraz placu składowego albo wiaty, jeżeli zachodzi co najmniej jeden z
następujących warunków:</p>
<p>strefa pożarowa produkcyjna lub magazynowa wymienionych obiektów
budowlanych ma powierzchnię przekraczającą 1.000 m2 oraz gęstość
obciążenia ogniowego przekraczającą 500 MJ/m2,</p>
<p>występuje zagrożenie wybuchem,</p>
<p>strefa pożarowa produkcyjna lub magazynowa wymienionych obiektów
budowlanych ma powierzchnię przekraczającą 5.000 m2 i gęstość obciążenia
ogniowego mniejszą niż 500 MJ/m2;</p>
<p>garażu wielopoziomowego oraz garażu zamkniętego o więcej niż 10
stanowiskach postojowych;</p>
<p>obiektu budowlanego objętego obowiązkiem wykonania systemu
sygnalizacji pożarowej, stałych urządzeń gaśniczych lub dźwiękowego
systemu ostrzegawczego;</p></th>";a17;l17
31;"Proszę
omówić i zilustrować szkicami sposoby rozwiązania stropów nad obiektami
wielkopowierzchniowymi (np. galerie)";P;Z15;;"<strong>WRÓCIĆ</strong></h2>
<blockquote>
<p><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image10.png"" style=""width:2.375in;height:2.52778in""/></p>
</blockquote>
<p>Stop oparty na kratownicy<br/>
Strop z strunobetonu</p>
<p>ŚWIETLIKI DOŚWIETLENIE</p>
<p>ChatGPT:</p>
<p>1. Konstrukcje stalowe</p>
<p>Dźwigary stalowe: Jednym z najczęstszych rozwiązań stosowanych w
obiektach wielkopowierzchniowych są konstrukcje stalowe. Stalowe
dźwigary kratownicowe lub pełnościenne pozwalają na osiągnięcie dużych
rozpiętości (nawet do 100 metrów), co minimalizuje liczbę podpór
wewnątrz obiektu. Stal zapewnia dużą wytrzymałość przy relatywnie
niskiej masie własnej.</p>
<p>Łukowe dźwigary stalowe: Alternatywą są dźwigary o łukowatym
kształcie, które mogą dodać walorów estetycznych, a jednocześnie
pozwalają na efektywne rozłożenie obciążeń na podpory zewnętrzne.</p>
<p>2. Konstrukcje z betonu sprężonego</p>
<p>Belki sprężone: W niektórych obiektach wielkopowierzchniowych stosuje
się belki z betonu sprężonego, które charakteryzują się wysoką nośnością
i odpornością na zginanie. Beton sprężony jest szczególnie korzystny w
przypadku dużych obciążeń lub konieczności zminimalizowania deformacji
konstrukcji.</p>
<p>Stropy płytowo-belkowe: W budynkach o mniejszych rozpiętościach, ale
nadal wymagających dużej wytrzymałości, często stosowane są stropy
płytowo-belkowe z betonu sprężonego, co pozwala na redukcję grubości
stropu przy jednoczesnym zachowaniu wysokiej nośności.</p>
<p>3. Konstrukcje hybrydowe</p>
<p>Połączenie stali i betonu: Często stosowane są konstrukcje hybrydowe,
które łączą zalety konstrukcji stalowych i betonowych. Na przykład
stalowe belki mogą być zintegrowane z płytą betonową, co pozwala na
wykorzystanie właściwości obu materiałów: wytrzymałości stali na
rozciąganie i wytrzymałości betonu na ściskanie.Dźwigary zespolone: W
tej technologii stalowe elementy dźwigarów są połączone z betonowymi
płytami dachowymi za pomocą specjalnych łączników, co poprawia nośność i
stabilność konstrukcji.</p>
<p>4. Konstrukcje drewniane</p>
<p>Drewniane dźwigary kratowe: W przypadku obiektów o mniejszych
wymaganiach co do obciążeń, stosowane są także konstrukcje drewniane,
zwłaszcza z wykorzystaniem drewna klejonego. Dźwigary kratowe z drewna
klejonego pozwalają na uzyskanie dużych rozpiętości przy zachowaniu
estetycznego wyglądu oraz ekologicznych walorów drewna.Łuki drewniane:
Drewno klejone warstwowo pozwala na formowanie łuków o dużych
rozpiętościach, co jest często stosowane w budynkach o nowoczesnej
architekturze.</p>
<p>5. Konstrukcje membranowe</p>
<p>Dachy membranowe: W nowoczesnych obiektach wielkopowierzchniowych
coraz częściej spotyka się konstrukcje dachów z membran elastycznych
(np. z materiałów PVC lub PTFE), rozpiętych na stalowych lub
aluminiowych konstrukcjach. Dachy membranowe są lekkie, elastyczne i
estetyczne, a także umożliwiają tworzenie skomplikowanych kształtów
architektonicznych.</p>
<p>6. Konstrukcje z wykorzystaniem lin i kabli</p>
<p>Konstrukcje kablobetonowe: Dachy o dużych rozpiętościach mogą być
podparte na konstrukcjach kablobetonowych, gdzie betonowe elementy są
dodatkowo wzmacniane stalowymi linami lub kablami. Tego typu konstrukcje
są szczególnie użyteczne w przypadku stadionów lub hal widowiskowych,
gdzie ważne jest uzyskanie dużych otwartych przestrzeni bez podpór.</p>
<p>Dachy wiszące: W skrajnych przypadkach, dachy mogą być zawieszane na
linach rozpiętych między wieżami lub pylonami. Tego typu konstrukcje są
niezwykle efektowne, ale wymagają precyzyjnego projektowania i
wykonania.</p></th>";a18;l18
32;"Jakie
czynności należy wykonać i jakie dokumenty (decyzje, zgody, opinie,
uzgodnienia itp.) należy uzyskać i zgromadzić aby można było sporządzić
projekt budowlany a następnie uzyskać decyzję o pozwoleniu na budowę
posterunku policji, na obszarze nieobjętym miejscowym planem
zagospodarowania przestrzennego?";L;Z15;;"</h2>
<p>Rozporządzenie MR w sprawie szczegółowego zakresu i formy projektu
budowlanego §5<br/>
Należy przygotować:<br/>
- projekt zagospodarowania terenu lub działki<br/>
- projekt architektoniczno-budowlany<br/>
- projekt techniczny<br/>
- załączniki do projektu budowlanego<br/>
- opinie uzgodnienia i inne dokumenty o których mowa w art. 33 ust. 2
pkt 1 tj.<br/>
- oświadczenie właściwego zarządcy drogi o możliwości połączenia z
drogą<br/>
- informację bezpieczeństwa i ochrony zdrowia<br/>
Ustawia PB Art. 33<br/>
do wniosku PnB należy dołączyć:<br/>
- projekt zagospodarowania działki oraz PAB<br/>
- oświadczenie o posiadanym prawie do dysponowania nieruchomością na
cele budowlane<br/>
- decyzję o warunkach zabudowy i zagospodarowania terenu<br/>
- oświadczenie projektanta dotyczące możliwości przyłączenia budynku do
sieci ciepłownicze</p>
<p>Sprawdzić czy objęty teren jest MPZP, jeżeli nie trzeba wystąpić o
WZ/ULICP<br/>
Pozyskanie mapy zasadniczej.<br/>
Badania geotechniczne<br/>
wystąpienie do gestorów sieci o promesy</p>
<p>Warunki zabudowy/ ULICP<br/>
wystąpienie do gestorów sieci<br/>
opinia sanepidu<br/>
uzgodnienia branżowe<br/>
MDCP<br/>
Promesa od gestorów<br/>
Warunki przyłączeniowe do PnB</p></th>";a19;l19
