number,numberP,question,kategoria,zestaw,rating,answer,aiAnswer,law
,,Co to jest aprobata techniczna?,zL,,,"<p>Aprobata Techniczna jest to pozytywna ocena techniczna przydatności wyrobu budowlanego do zamierzonego stosowania, uzależniona od spełnienia wymagań podstawowych przez obiekty budowlane, w których wyrób budowlany jest stosowany.</p><p>Aprobaty technicznej udziela się dla wyrobu budowlanego, dla którego nie ustanowiono Polskiej Normy wyrobu, albo wyrobu budowlanego dla którego właściwości użytkowe, odnoszące się do wymagań podstawowych różnią się istotnie od właściwości określonych w Polskiej Normie wyrobu, objętego:</p><p>a.	Mandatem udzielonym przez Komisję Europejską na opracowanie norm zharmonizowanych lub wytycznych do europejskich aprobat technicznych;</p><p>b.	Nieobjętego mandatem jw., jeżeli wyrób ten ujęty został w wykazie wyrobów budowlanych dla których możliwe jest ustanowienie aprobaty technicznej, określonym przez Ministra właściwego do spraw budownictwa, gospodarki przestrzennej i mieszkaniowej na wniosek jednostki organizacyjnej upoważnionej do wydawania aprobat technicznych.</p><p>Aprobata techniczna nie jest dokumentem dopuszczającym do obrotu i stosowania w budownictwie, stanowi jedynie specyfikację techniczną w procesie oceny zgodności i wydania w oparciu o tę ocenę certyfikatu albo deklaracji zgodności - dokumentów dopuszczających wyroby do obrotu i stosowania w budownictwie.</p><p>Aprobaty Techniczne ITB udzielane są na okres 5 lat. Termin ważności Aprobaty Technicznej ITB może być przedłużony po złożeniu przez właściciela aprobaty wniosku, na odpowiednim formularzu, wraz z wymaganymi załącznikami.</p>",,
,,Co może zrobić organ przy stwierdzeniu nieprawidłowości przy wykonaniu robót,zL,,,"<p>art. 48 - art. 49 - wydanie nakazu rozbiórki obiektu wybudowanego bez pozwolenia na budowę (ewentualna procedura legalizacyjna obiektu),</p><p>art. 49b - wydanie nakazu rozbiórki obiektu budowlanego wybudowanego bez wymaganego zgłoszenia</p><p>(ewentualna procedura legalizacyjna obiektu),</p><p>Art.50 - wstrzymanie wykonywania robót budowlanych wykonywanych bez pozwolenia na budowę lub niezgodnie z pozwoleniem lub przepisami,</p><p>Art. 51 - nakaz wykonania przez inwestora określonych czynności związanych z niewłaściwym wykonywaniem robót budowlanych (postępowanie naprawcze),</p><p>Art. 69 - nakaz usunięcia istniejącego zagrożenia w obiekcie budowlanym,</p><p>przypadku stwierdzenia, że obiekt budowlany:</p><p>może zagrażać życiu lub zdrowiu ludzi, bezpieczeństwu mienia bądź środowiska</p><p>jest użytkowany w sposób zagrażający życiu lub zdrowiu ludzi, bezpieczeństwu mienia lub środowisku, - jest w nieodpowiednim stanie technicznym,</p><p>powoduje swym wyglądem oszpecenie otoczenia – właściwy organ nadzoru budowlanego jest zobligowany donakazania, w drodze decyzji, usunięcia stwierdzonych nieprawidłowości, określając termin wykonania tegoobowiązku.</p><p>W decyzji, o której mowa pkt 1-3, organ nadzoru budowlanego może zakazać użytkowania obiektu budowlanegolub jego części do czasu usunięcia stwierdzonych nieprawidłowości.</p><p>Organy administracji architektoniczno-budowlanej i nadzoru budowlanego, w razie powstania uzasadnionych wątpliwości co do jakości wyrobów budowlanych lub robót budowlanych, a także stanu technicznego obiektu budowlanego, mogą nałożyć, w drodze postanowienia, na osoby, o których mowa w ust. 1, obowiązek dostarczenia w określonym terminie odpowiednich ocen technicznych lub ekspertyz. Koszty ocen i ekspertyz ponosi osoba zobowiązana do ich dostarczenia.</p>",,
,,Co powinien zawierać protokół z kontroli budynku przeznaczonego do rozbiórki,zL,,,"<p>Protokół oględzin obiektu budowlanego powinien zawierać:</p><p>opis stanu technicznego obiektu budowlanego,</p><p>przyczyny powstania uszkodzeń lub zniszczenia obiektu budowlanego,</p><p>określenie stanu zagrożenia bezpieczeństwa ludzi lub mienia oraz zagrożenia dla środowiska i zdrowia ludzi,</p><p>Na podstawie ustaleń wynikających z oględzin, rozprawy oraz ekspertyzy technicznej, jeśli był nałożony obowiązek jej sporządzenia, właściwy organ, po stwierdzeniu, że obiekt budowlany lub jego część nie nadaje się do remontu, wykończenia lub odbudowy, wydaje decyzję o nakazie rozbiórki.</p><p>Ekspertyzę techniczną wykonuje się, jeżeli w wyniku oględzin powstaną uzasadnione wątpliwości odnośnie do stanu technicznego obiektu budowlanego. Ekspertyzę techniczną mogą wykonać osoby posiadające uprawnienia budowlane bez ograniczeń w odpowiedniej specjalności, rzeczoznawca budowlany albo jednostka badawczo-rozwojowa bądź uczelnia posiadająca kompetencje do prowadzenia badań naukowych i prac rozwojowych dotyczących budownictwa.</p>",,
,,Co to są materiały niebezpieczne wg. Rozporządzenia ws. Ogólnych wymagań BHP. Warunki odnośnie składowania i transportu.,zL,,,"<p>Klasyfikacji materiałów niebezpiecznych dokonuje się na podstawie merytorycznej analizy właściwości danej substancji:
1.fizyko-chemicznych i palno-wybuchowych,
2.oddziaływania na organizm ludzki,
3.oddziaływania na organizmy żywe środowiska.
Niebezpiecznymi możemy nazwać te substancje, które w czasie magazynowania, transportu, załadunku, rozładunku mogą w negatywny sposób oddziaływać na otoczenie, stwarzając zagrożenia pożarowo-wybuchowe, zagrożenia dla zdrowia lub życia człowieka, a także otaczającego środowiska.</p><p>Materiałami niebezpiecznymi są głównie substancje i preparaty, które ze względu na swoje własności chemiczne, fizyczne lub biologiczne mogą w razie nieprawidłowego obchodzenia się z nimi doprowadzić do śmierci, rozstroju zdrowia, uszkodzenia ciała ludzkiego lub zniszczeń czy szkód materialnych. Ze względu na powszechność ich wykorzystywania w procesach budowlanych oraz zagrożenia z nimi związane należy skrupulatnie przestrzegać obowiązujących zasad dotyczących ich stosowania, magazynowania, transportu oraz utylizacji.</p><p>Transport:</p><p>Należy odpowiednio przystosować, wyposażyć i oznakować pojazdy do transportu materiałów niebezpiecznych</p><p>Kierujący pojazdem przewożącym materiały niebezpieczne musi spełniać określone przepisami wymagania oraz posiadać zaświadczenie o ukończeniu kursu upoważniającego go do wykonywania tej czynności.</p><p>Podczas używania, transportu i składowania materiałów niebezpiecznych należy stosować odpowiednie środki ochrony zbiorowej i indywidualnej.</p><p>Pomieszczenia do przechowywania, składowania i stosowania materiałów niebezpiecznych powinny spełniać wymagania ppoż. w tym zakresie.</p><p>Podczas składowania i stosowania materiałów niebezpiecznych należy pamiętać o: • zachowaniu odpowiedniej temperatury, wilgotności i ochronie przed nasłonecznieniem • ograniczeniach co do wspólnego ich składowania i stosowania • dopuszczalnej ilości składowanych materiałów • odpowiedniej ich rotacji i zasadach związanych z zachowaniem racjonalnego obrotu i tworzenia zapasów • właściwym rozmieszczeniu tych materiałów, umożliwiającym prowadzenie kontroli ich ilości, warunków i zasad składowania oraz stosowania.</p>",,
,,Co powinien zawierać wniosek o wszczęcie postępowania.,zL,,,"<p>Art. 61. § 1. Postępowanie administracyjne wszczyna się na żądanie strony lub z urzędu.</p><p>§ 2. Organ administracji publicznej może ze względu na szczególnie ważny interes strony wszcząć z urzędu postępowanie także w sprawie, w której przepis prawa wymaga wniosku strony. Organ obowiązany jest uzyskać na to zgodę strony w toku postępowania, a w razie nieuzyskania zgody – postępowanie umorzyć.</p><p>§ 3. Datą wszczęcia postępowania na żądanie strony jest dzień doręczenia żądania organowi administracji publicznej.</p><p>§ 3a. Datą wszczęcia postępowania na żądanie strony wniesione drogą elektroniczną jest dzień wprowadzenia żądania do systemu teleinformatycznego organu administracji publicznej.</p><p>§ 4. O wszczęciu postępowania z urzędu lub na żądanie jednej ze stron należy zawiadomić wszystkie osoby będące stronami w sprawie.</p><p>Art. 61a. § 1. Gdy żądanie, o którym mowa w art. 61, zostało wniesione przez osobę niebędącą stroną lub z innych uzasadnionych przyczyn postępowanie nie może być wszczęte, organ administracji publicznej wydaje postanowienie o odmowie wszczęcia postępowania.</p><p>§ 2. Na postanowienie, o którym mowa w § 1, służy zażalenie.</p><p>Art. 62. W sprawach, w których prawa lub obowiązki stron wynikają z tego samego stanu faktycznego oraz z tej samej podstawy prawnej i w których właściwy jest ten sam organ administracji publicznej, można wszcząć i prowadzić jedno postępowanie dotyczące więcej niż jednej strony.</p><p>Art. 63. § 1. Podania (żądania, wyjaśnienia, odwołania, zażalenia) mogą być wnoszone pisemnie, telegraficznie, za pomocą telefaksu lub ustnie do protokołu, a także za pomocą innych środków komunikacji elektronicznej przez elektroniczną skrzynkę podawczą organu administracji publicznej utworzoną na podstawie ustawy z dnia 17 lutego 2005 r. o informatyzacji działalności podmiotów realizujących zadania publiczne.</p><p>§ 2. Podanie powinno zawierać co najmniej wskazanie osoby, od której pochodzi, jej adres i żądanie oraz czynić zadość innym wymaganiom ustalonym w przepisach szczególnych.</p><p>§ 3. Podanie wniesione pisemnie albo ustnie do protokołu powinno być podpisane przez wnoszącego, a protokół ponadto przez pracownika, który go sporządził. Gdy podanie wnosi osoba, która nie może lub nie umie złożyć podpisu, podanie lub protokół podpisuje za nią inna osoba przez nią upoważniona, czyniąc o tym wzmiankę obok podpisu.</p><p>§ 3a. Podanie wniesione w formie dokumentu elektronicznego powinno:</p><p>1) być uwierzytelnione przy użyciu mechanizmów określonych w art. 20a ust. 1 albo 2 ustawy z dnia 17 lutego 2005 r. o informatyzacji działalności podmiotów realizujących zadania publiczne;</p><p>2) zawierać dane w ustalonym formacie, zawartym we wzorze podania określonym w odrębnych przepisach, jeżeli te przepisy nakazują wnoszenie podań według określonego wzoru;</p><p>3) zawierać adres elektroniczny wnoszącego podanie.</p>",,
,,"Co rozumiesz pod pojęciem ""samodzielna funkcja techniczna w budownictwie""",zL,,,"<p>Art. 12. 1. Za samodzielną funkcję techniczną w budownictwie uważa się działalność związaną z koniecznością fachowej oceny zjawisk technicznych lub samodzielnego rozwiązania zagadnień architektonicznych i technicznych oraz techniczno-organizacyjnych, a w szczególności działalność obejmującą:</p><p>1) projektowanie,</p><p>2) kierowanie budową lub innymi robotami budowlanymi;</p><p>3) kierowanie</p><p>4) wykonywanie nadzoru inwestorskiego;</p><p>5) sprawowanie kontroli technicznej utrzymania obiektów budowlanych;</p><p>6) (uchylony);</p><p>7) rzeczoznawstwo budowlane.</p><p>2. Samodzielne funkcje techniczne w budownictwie, określone w ust. 1 pkt 1-5, mogą wykonywać wyłącznie osoby posiadające odpowiednie wykształcenie techniczne i praktykę zawodową, dostosowane do rodzaju, stopnia skomplikowania działalności i innych wymagań związanych z wykonywaną funkcją, stwierdzone decyzją, zwaną dalej &quot;uprawnieniami budowlanymi&quot;, wydaną przez organ samorządu zawodowego.</p><p>3. Warunkiem uzyskania uprawnień budowlanych jest zdanie egzaminu ze znajomości procesu budowlanego oraz umiejętności praktycznego zastosowania wiedzy technicznej.</p><p>4. Egzamin składa się przed komisją egzaminacyjną powoływaną przez organ samorządu zawodowego albo inny upoważniony organ.</p><p>5. Koszty postępowania kwalifikacyjnego, obejmujące w szczególności wynagrodzenie członków komisji egzaminacyjnej, ponosi osoba ubiegająca się o nadanie uprawnień budowlanych.</p><p>6. Osoby wykonujące samodzielne funkcje techniczne w budownictwie są odpowiedzialne za wykonywanie tych funkcji zgodnie z przepisami i zasadami wiedzy technicznej oraz za należytą staranność w wykonywaniu pracy, jej właściwą organizację, bezpieczeństwo i jakość.</p><p>7. Podstawę do wykonywania samodzielnych funkcji technicznych w budownictwie stanowi wpis, w drodze decyzji, do centralnego rejestru, o którym mowa w art. 88a ust. 1 pkt 3 lit. a, oraz - zgodnie z odrębnymi przepisami - wpis na listę członków właściwej izby samorządu zawodowego, potwierdzony zaświadczeniem wydanym przez tę izbę, z określonym w nim terminem ważności.</p><p>8. (uchylony).</p><p>Art. 12a. 1. Samodzielne funkcje techniczne w budownictwie, oprócz osób, o których mowa w art. 12, mogą również wykonywać osoby będące obywatelami państw Europejskiego Obszaru Gospodarczego oraz Konfederacji Szwajcarskiej, które:</p><p>1) posiadają w tych państwach prawo wykonywania czynności odpowiadających samodzielnym funkcjom technicznym w budownictwie;</p><p>2) ukończyły studia wyższe zagraniczne uznane w Polsce za równorzędne;</p><p>3) odbyły dwuletnią praktykę przy sporządzaniu projektów lub na budowie.</p><p>wytwarzaniem konstrukcyjnych elementów budowlanych oraz nadzór i kontrolę techniczną wytwarzania tych elementów;sprawdzanie projektów architektoniczno-budowlanych i sprawowanie nadzoru autorskiego;</p><p>2. Właściwy organ samorządu zawodowego przeprowadza postępowanie weryfikacyjne w zakresie, o którym mowa w ust. 1, i wydaje decyzję w sprawie nadania uprawnień budowlanych.</p><p>2a. Przepisów ust. 1 pkt 2 i 3 nie stosuje się do osób, którym państwo członkowskie Unii Europejskiej nadało tytuł zawodowy architekta za szczególnie wyróżniające się osiągnięcia w dziedzinie architektury.</p><p>3. Do osób, o których mowa w ust. 1, stosuje się przepisy ustawy, z wyjątkiem art. 14 ust. 3.</p>",,
,,Czy jest możliwość zalegalizowania bez pozwolenia na budowę,zL,,,"<p>Zgodnie z artykułem 28 ust. 1 ustawy z dnia 7 lipca 1994 r. Prawo budowlane roboty budowlane wymagające pozwolenia na budowę można prowadzić na podstawie ostatecznej i ważnej decyzji o pozwoleniu na budowę. W przypadku, gdy obiekt budowlany wybudowano lub jest budowany bez wymaganej decyzji o pozwoleniu na budowę, możliwe jest dokonanie legalizacji inwestycji we właściwym organie nadzoru budowlanego.Postępowanie legalizacyjne wszczynane jest z urzędu. Sygnałem do jego wszczęcia może być:wniosek inwestora (lub właściciela obiektu),</p><p>informacje, które organy nadzoru budowlanego uzyskują od osób trzecich itp.,</p><p>informacje uzyskane od np. organów architektoniczno-budowlanych, czy też w wyniku własnych ustaleń.Należy podkreślić, że legalizacja samowoli budowlanej jest uprawnieniem, a nie obowiązkiem inwestora.</p><p>Warunkiem koniecznym zalegalizowania obiektu budowlanego wybudowanego lub budowanego bezwymaganego pozwolenia na budowę jest:</p><p>jego zgodność z przepisami o planowaniu i zagospodarowaniu przestrzennym (z ustaleniamiobowiązującego miejscowego planu zagospodarowania przestrzennego lub ostateczną decyzją o warunkachzabudowy i zagospodarowania terenu – w przypadku, kiedy nie ma wyżej wymienionego planu),</p><p>nie naruszenie przepisów, w tym techniczno-budowlanych, w zakresie uniemożliwiającym jegodoprowadzenie do stanu zgodnego z prawem.</p><p>Jeżeli wyżej wymienione warunki są spełnione, organ nadzoru budowlanego może wszcząć postępowanie legalizacyjne. Wydawane jest postanowienie nakazujące wstrzymanie robót budowlanych prowadzonych przylegalizowanym obiekcie budowlanym. Ponadto postanowienie to nakłada na inwestora/właściciela obiektuwymagania dotyczące stosownych zabezpieczeń obiektu, a także obowiązek przedstawienia w wyznaczonymterminie następujących dokumentów:</p><p>zaświadczenia wójta, burmistrza, prezydenta miasta o zgodności budowy z ustaleniami obowiązującego miejscowego planu zagospodarowania przestrzennego, a w przypadku jego braku z ostateczną decyzją o warunkach zabudowy i zagospodarowania terenu</p><p>czterech egzemplarzy projektu budowlanego wraz z opiniami, uzgodnieniami, pozwoleniami i innymi dokumentami wymaganymi przepisami szczególnymi (projekt powinien zawierać aktualne zaświadczenie, wydane przez właściwą izbę samorządu zawodowego o wpisaniu autora/autorów projektu na listę członków przez właściwą izbę samorządu zawodowego). Nie dotyczy to uzgodnienia i opiniowania przeprowadzonego w ramach oceny oddziaływania przedsięwzięcia na środowisko albo oceny oddziaływania na obszar Natura 2000. Projekt ma być sprawdzony pod względem zgodności z przepisami przez osobę posiadającą uprawnienia do projektowania bez ograniczeń w odpowiedniej specjalności lub rzeczoznawcę budowlanego (zgodnie z art. 20 ust. 2 ustawy Prawo budowlane – z wyłączeniem przepisu wynikającego z art. 20 ust. 3 pkt 2 ustawy Prawo budowlane);</p><p>oświadczenie o posiadanym prawie do dysponowania nieruchomością na cele budowlane;</p><p>w przypadku legalizacji obiektów zakładów górniczych, obiektów na obszarach zamkniętych, a także obszarów usytuowanych na terenie pasa technicznego, portów i przystani morskich, morskich wód wewnętrznych, morza terytorialnego i wyłącznej strefy ekonomicznej, a także na innych terenach przeznaczonych do utrzymania ruchu i transportu morskiego należy dołączyć postanowienie o uzgodnieniu z odpowiednim organem architektoniczno-budowlanym kwestii linii zabudowy, elewacji (znajdujących się od strony dróg, ulic, placów i innych miejsc publicznych), przebiegu i charakterystyki technicznej dróg i uzbrojenia technicznego, a także podłączeń tych urządzeń do sieci urządzeń publicznego;</p><p>legalizując obiekty budowlane, których wykonanie i użytkowanie może stwarzać poważne zagrożenie dla użytkowników (np. obiekty energetyki jądrowej, rafinerie, zakłady chemiczne, zapory wodne), a także obiekty, które wykonane zostały w nowych technologiach (nie objętych polskimi przepisami i normami), należy dołączyć specjalistyczną opinię wydaną przez osobę fizyczną lub jednostkę organizacyjną wskazaną przez właściwego ministra.</p><p>Kontynuowanie robót budowlanych pomimo postanowienia o ich wstrzymaniu skutkuje wydaniem decyzji o nakazie rozbiórki.</p><p>4. Złożenie w wyznaczonym terminie wyżej wymienionych dokumentów traktowane jest, w przypadku niezakończenia budowy, jako wniosek o zatwierdzenie projektu i pozwolenie na wznowienie robót budowlanych, aprzypadku zakończonej budowy, jako wniosek o zatwierdzenie projektu budowlanego. Przed wydaniem takiej decyzji organ nadzoru budowlanego sprawdza:</p><p>zgodność projektu zagospodarowania działki lub terenu z przepisami o planowaniu i zagospodarowaniu przestrzennym (zwłaszcza z ustaleniami obowiązującego miejscowego planu zagospodarowania przestrzennego);</p><p>kompletność projektu budowlanego wraz z odpowiednimi opiniami, uzgodnieniami, sprawdzeniami i pozwoleniami (w zależności od rodzaju inwestycji budowlanej);</p><p>wykonanie projektu przez osobę posiadającą wymagane uprawnienia budowlane.</p><p>Jeżeli rzeczone warunki są spełnione, organ postanowieniem (na które można złożyć zażalenie) nakłada opłatę legalizacyjną. Natomiast w przypadku nieprawidłowości w złożonych dokumentach organ w drodze postanowienia zobowiązuje inwestora/właściciela obiektu do usunięcia wskazanych braków i błędów w podanym terminie. Nie uiszczenie opłaty legalizacyjnej w terminie 7 dni od dnia doręczenia postanowienia, czy też nie uzupełnienie braków skutkuje wydaniem decyzji o nakazie rozbiórki wybudowanego, bądź będącego w budowie obiektu budowlanego (lub jego części). Opłata legalizacyjna stanowi pięćdziesięciokrotność iloczynustawki opłaty (s- 500 zł), współczynnika kategorii obiektu budowlanego (k) i współczynnika wielkości obiektubudowlanego (w) - dane dotyczące tych parametrów są w załączniku do ustawy z dnia 7 lipca 1994 r. Prawo budowlane.</p><p>Wydanie decyzji o legalizacji obiektu budowlanego, wybudowanego bądź będącego w budowie bez wymaganej decyzji o pozwoleniu na budowę jest możliwe po wcześniejszym przeprowadzeniu oceny oddziaływania przedsięwzięcia na środowisko albo oceny oddziaływania na obszar Natura 2000 (jeżeli jest ona wymagana zgodnie z przepisami ustawy z dnia 3 października 2008 r. o udostępnianiu informacji o środowisku i jego ochronie, udziale społeczeństwa w ochronie środowiska oraz o ocenach oddziaływania na środowisko), w przypadkach gdy ocena ta jest możliwa do przeprowadzenia z uwzględnieniem analizy rozwiązań alternatywnych przedsięwzięcia i możliwości ustalenia warunków jego realizacji w zakresie ochrony środowiska.</p><p>Prowadzenie prac budowlanych bez decyzji o pozwoleniu na budowę jest przestępstwem karnym podlegającym grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2. Późniejsza legalizacja obiektu, czy nawet jego rozbiórka nie zwalnia od odpowiedzialności karnej.</p><p>Rezultat procedury</p><p>Inwestor/właściciel nieruchomości w wyniku pozytywnie zakończonej procedury legalizacyjnej otrzymuje (po uregulowaniu opłaty legalizacyjnej) decyzję o zatwierdzeniu projektu budowlanego (w przypadku zakończenia budowy) lub decyzję o zatwierdzeniu projektu budowlanego i pozwoleniu na wznowienie robót (w przypadku, kiedy budowa jest w toku). Wyżej wymienione decyzje nakładają na inwestora/wnioskodawcę obowiązek uzyskania decyzji o pozwoleniu na użytkowanie.</p><p>W przypadku wydania decyzji o nakazie rozbiórki samowolnie wybudowanego lub budowanego obiektu budowlanego inwestor, właściciel lub zarządca obiektu budowlanego zobowiązany jest dokonać prac rozbiórkowych na swój koszt.</p><p>W przypadku uchylenia w postępowaniu odwoławczym decyzji legalizującej obiekt budowlany wybudowany lub będący w budowie bez pozwolenia na budowę, opłata legalizacyjna podlega zwrotowi w terminie 30 dni od dnia stwierdzenia wykonania rozbiórki. Jeżeli prace rozbiórkowe odbywają się w trybie wykonania zastępczego, zgodnie z przepisami o postępowaniu egzekucyjnym w administracji, opłatę legalizacyjną zalicza się w poczet kosztów wykonania zastępczego.</p>",,
,,Czy PINB może w swojej działalności obejmować więcej niż 1 powiat?,zL,,,"<p>Tak. Wojewoda,  na  wniosek  właściwych  starostów,  może  rozszerzyć  zakres działania powiatowego inspektora nadzoru budowlanego na więcej niż jeden powiat.</p>",,
,,Czy sprawowanie samodzielnych funki technicznych bez odpowiednich uprawnien jest występkiem. ?,zL,,,"<p>Grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku podlega osoba, która wykonuje samodzielną funkcję techniczną w budownictwie, nie posiadając odpowiednich uprawnień budowlanych lub prawa wykonywania samodzielnych funkcji technicznych w budownictwie.</p>",,
,,Czy można przystąpić do rozbiórki obiektu budowlanego bez uprzedniego uzyskania zgody właściwego organu?,zL,,,"<p>Bez pozwolenia można wyburzyć:</p><p>• budynki i budowle, które nie zostały wpisane do rejestru zabytków i nie są objęte opieką konserwatorską - ale tylko te o wysokości poniżej 8 m i w przypadkach, gdy ich odległość od granicy  jest nie mniejsza niż połowa wysokości;</p><p>• obiekty i urządzenia budowlane, na budowę których nie jest wymagane pozwolenie, jeżeli nie podlegają ochronie jako zabytki.</p><p>Istnieją również tzw. nagłe przypadki, gdy roboty zabezpieczające i rozbiórkowe można rozpocząć przed uzyskaniem pozwolenia na rozbiórkę lub przed ich zgłoszeniem. Możliwie jest to wówczas, gdy prace rozbiórkowe mają na celu usunięcie bezpośredniego zagrożenia bezpieczeństwa ludzi lub mienia.</p><p>Trzeba jednak pamiętać, że rozpoczęcie takich robót nie zwalnia od obowiązku bezzwłocznego uzyskania pozwolenia na rozbiórkę lub zgłoszenia o zamierzonej rozbiórce obiektu budowlanego.</p><p>Bez pozwolenia, ale zgłosić trzeba</p><p>Pomimo tego, że do wyburzenia wymienionych obiektów nie trzeba mieć pozwolenia – sam fakt rozbiórki należy zgłosić właściwemu organowi.</p>",,
